"","X","Country","Region","Freedom","Year","Rank","Score","GDP","Life.Expectancy","Corruption"
"43",43,"Guatemala","Latin America and Caribbean",0.57733,2015,43,6.123,0.74553,0.64425,0.09472
"44",44,"Uzbekistan","Central and Eastern Europe",0.65821,2015,44,6.003,0.63244,0.59772,0.30826
"45",45,"Slovakia","Central and Eastern Europe",0.31751,2015,45,5.995,1.16891,0.78902,0.03431
"46",46,"Japan","Eastern Asia",0.49615,2015,46,5.987,1.27074,0.99111,0.1806
"47",47,"South Korea","Eastern Asia",0.33208,2015,47,5.984,1.24461,0.96538,0.07857
"48",48,"Ecuador","Latin America and Caribbean",0.48574,2015,48,5.975,0.86402,0.79075,0.1809
"49",49,"Bahrain","Middle East and Northern Africa",0.45492,2015,49,5.96,1.32376,0.74716,0.306
"50",50,"Italy","Western Europe",0.26236,2015,50,5.948,1.25114,0.95446,0.02901
"51",51,"Bolivia","Latin America and Caribbean",0.57414,2015,51,5.89,0.68133,0.5392,0.088
"52",52,"Moldova","Central and Eastern Europe",0.32818,2015,52,5.889,0.59448,0.61826,0.01615
"53",53,"Paraguay","Latin America and Caribbean",0.53899,2015,53,5.878,0.75985,0.66098,0.08242
"54",54,"Kazakhstan","Central and Eastern Europe",0.51649,2015,54,5.855,1.12254,0.64368,0.08454
"55",55,"Slovenia","Central and Eastern Europe",0.60855,2015,55,5.848,1.18498,0.87337,0.03787
"56",56,"Lithuania","Central and Eastern Europe",0.21342,2015,56,5.833,1.14723,0.73128,0.01031
"57",57,"Nicaragua","Latin America and Caribbean",0.55475,2015,57,5.828,0.59325,0.74314,0.19317
"58",58,"Peru","Latin America and Caribbean",0.41496,2015,58,5.824,0.90019,0.73017,0.05989
"59",59,"Belarus","Central and Eastern Europe",0.37938,2015,59,5.813,1.03192,0.73608,0.1909
"60",60,"Poland","Central and Eastern Europe",0.53122,2015,60,5.791,1.12555,0.77903,0.04212
"61",61,"Malaysia","Southeastern Asia",0.53024,2015,61,5.77,1.12486,0.72394,0.10501
"62",62,"Croatia","Central and Eastern Europe",0.25883,2015,62,5.759,1.08254,0.78805,0.0243
"63",63,"Libya","Middle East and Northern Africa",0.41668,2015,63,5.754,1.13145,0.7038,0.11023
"64",64,"Russia","Central and Eastern Europe",0.36679,2015,64,5.716,1.13764,0.66926,0.03005
"65",65,"Jamaica","Latin America and Caribbean",0.50442,2015,65,5.709,0.81038,0.68741,0.02299
"66",66,"North Cyprus","Western Europe",0.49027,2015,66,5.695,1.20806,0.92356,0.1428
"67",67,"Cyprus","Western Europe",0.40672,2015,67,5.689,1.20813,0.92356,0.06146
"68",68,"Algeria","Middle East and Northern Africa",0.28579,2015,68,5.605,0.93929,0.61766,0.17383
"69",69,"Kosovo","Central and Eastern Europe",0.24749,2015,69,5.589,0.80148,0.63132,0.04741
"70",70,"Turkmenistan","Central and Eastern Europe",0.4761,2015,70,5.548,0.95847,0.53886,0.30844
"71",71,"Mauritius","Sub-Saharan Africa",0.56066,2015,71,5.477,1.00761,0.7095,0.07521
"72",72,"Hong Kong","Eastern Asia",0.59608,2015,72,5.474,1.38604,1.01328,0.37124
"73",73,"Estonia","Central and Eastern Europe",0.44888,2015,73,5.429,1.15174,0.77361,0.15184
"74",74,"Indonesia","Southeastern Asia",0.46611,2015,74,5.399,0.82827,0.63793,0
"75",75,"Vietnam","Southeastern Asia",0.59444,2015,75,5.36,0.63216,0.74676,0.10441
"76",76,"Turkey","Middle East and Northern Africa",0.22815,2015,76,5.332,1.06098,0.73172,0.15746
"77",77,"Kyrgyzstan","Central and Eastern Europe",0.43477,2015,77,5.286,0.47428,0.65088,0.04232
"78",78,"Nigeria","Sub-Saharan Africa",0.34334,2015,78,5.268,0.65435,0.16007,0.0403
"79",79,"Bhutan","Southern Asia",0.53206,2015,79,5.253,0.77042,0.57407,0.15445
"80",80,"Azerbaijan","Central and Eastern Europe",0.3703,2015,80,5.212,1.02389,0.64045,0.16065
"81",81,"Pakistan","Southern Asia",0.12102,2015,81,5.194,0.59543,0.51466,0.10464
"82",82,"Jordan","Middle East and Northern Africa",0.40661,2015,82,5.192,0.90198,0.69639,0.14293
"83",83,"Montenegro","Central and Eastern Europe",0.1826,2015,82,5.192,0.97438,0.72521,0.14296
"84",84,"China","Eastern Asia",0.51697,2015,84,5.14,0.89012,0.81658,0.02781
"85",85,"Zambia","Sub-Saharan Africa",0.48827,2015,85,5.129,0.47038,0.29924,0.12468
"86",86,"Romania","Central and Eastern Europe",0.35068,2015,86,5.124,1.04345,0.7689,0.00649
"87",87,"Serbia","Central and Eastern Europe",0.20107,2015,87,5.123,0.92053,0.74836,0.02617
"88",88,"Portugal","Western Europe",0.51469,2015,88,5.102,1.15991,0.87519,0.01078
"89",89,"Latvia","Central and Eastern Europe",0.29671,2015,89,5.098,1.11312,0.72437,0.06332
"90",90,"Philippines","Southeastern Asia",0.62545,2015,90,5.073,0.70532,0.58114,0.12279
"91",91,"Somaliland region","Sub-Saharan Africa",0.46582,2015,91,5.057,0.18847,0.43873,0.39928
"92",92,"Morocco","Middle East and Northern Africa",0.41691,2015,92,5.013,0.73479,0.60954,0.08546
"93",93,"Macedonia","Central and Eastern Europe",0.33457,2015,93,5.007,0.91851,0.73545,0.05327
"94",94,"Mozambique","Sub-Saharan Africa",0.34037,2015,94,4.971,0.08308,0.09131,0.15603
"95",95,"Albania","Central and Eastern Europe",0.35733,2015,95,4.959,0.87867,0.81325,0.06413
"96",96,"Bosnia and Herzegovina","Central and Eastern Europe",0.09245,2015,96,4.949,0.83223,0.79081,0.00227
"97",97,"Lesotho","Sub-Saharan Africa",0.31767,2015,97,4.898,0.37545,0.07612,0.12504
"98",98,"Dominican Republic","Latin America and Caribbean",0.57672,2015,98,4.885,0.89537,0.66825,0.14234
"99",99,"Laos","Southeastern Asia",0.59591,2015,99,4.876,0.59066,0.54909,0.24249
"100",100,"Mongolia","Eastern Asia",0.43626,2015,100,4.874,0.82819,0.60268,0.02666
"101",101,"Swaziland","Sub-Saharan Africa",0.30658,2015,101,4.867,0.71206,0.07566,0.0306
"102",102,"Greece","Western Europe",0.07699,2015,102,4.857,1.15406,0.88213,0.01397
"103",103,"Lebanon","Middle East and Northern Africa",0.33916,2015,103,4.839,1.02564,0.83947,0.04582
"104",104,"Hungary","Central and Eastern Europe",0.32112,2015,104,4.8,1.12094,0.75905,0.02758
"105",105,"Honduras","Latin America and Caribbean",0.40148,2015,105,4.788,0.59532,0.6951,0.06825
"106",106,"Tajikistan","Central and Eastern Europe",0.47216,2015,106,4.786,0.39047,0.57379,0.15072
"107",107,"Tunisia","Middle East and Northern Africa",0.26268,2015,107,4.739,0.88113,0.73793,0.06358
"108",108,"Palestinian Territories","Middle East and Northern Africa",0.24499,2015,108,4.715,0.59867,0.66015,0.12905
"109",109,"Bangladesh","Southern Asia",0.4082,2015,109,4.694,0.39753,0.60164,0.12569
"110",110,"Iran","Middle East and Northern Africa",0.30033,2015,110,4.686,1.0088,0.69805,0.05863
"111",111,"Ukraine","Central and Eastern Europe",0.25123,2015,111,4.681,0.79907,0.6739,0.02961
"112",112,"Iraq","Middle East and Northern Africa",0,2015,112,4.677,0.98549,0.60237,0.13788
"113",113,"South Africa","Sub-Saharan Africa",0.33207,2015,113,4.642,0.92049,0.27688,0.08884
"114",114,"Ghana","Sub-Saharan Africa",0.42342,2015,114,4.633,0.54558,0.40132,0.04355
"115",115,"Zimbabwe","Sub-Saharan Africa",0.25861,2015,115,4.61,0.271,0.33475,0.08079
"116",116,"Liberia","Sub-Saharan Africa",0.28531,2015,116,4.571,0.0712,0.34201,0.06232
"117",117,"India","Southern Asia",0.39786,2015,117,4.565,0.64499,0.51529,0.08492
"118",118,"Sudan","Sub-Saharan Africa",0.10081,2015,118,4.55,0.52107,0.36878,0.1466
"119",119,"Haiti","Latin America and Caribbean",0.24425,2015,119,4.518,0.26673,0.38847,0.17175
"120",120,"Congo (Kinshasa)","Sub-Saharan Africa",0.22605,2015,120,4.517,0,0.09806,0.07625
"121",121,"Nepal","Southern Asia",0.38282,2015,121,4.514,0.35997,0.56874,0.05907
"122",122,"Ethiopia","Sub-Saharan Africa",0.4345,2015,122,4.512,0.19073,0.44055,0.15048
"123",123,"Sierra Leone","Sub-Saharan Africa",0.4084,2015,123,4.507,0.33024,0,0.08786
"124",124,"Mauritania","Sub-Saharan Africa",0.24232,2015,124,4.436,0.45407,0.35874,0.17461
"125",125,"Kenya","Sub-Saharan Africa",0.42215,2015,125,4.419,0.36471,0.41435,0.05839
"126",126,"Djibouti","Sub-Saharan Africa",0.46074,2015,126,4.369,0.44025,0.36291,0.28105
"127",127,"Armenia","Central and Eastern Europe",0.19847,2015,127,4.35,0.76821,0.7299,0.039
"128",128,"Botswana","Sub-Saharan Africa",0.49495,2015,128,4.332,0.99355,0.04776,0.12474
"129",129,"Myanmar","Southeastern Asia",0.44017,2015,129,4.307,0.27108,0.48246,0.19034
"130",130,"Georgia","Central and Eastern Europe",0.40577,2015,130,4.297,0.7419,0.72926,0.38331
"131",131,"Malawi","Sub-Saharan Africa",0.43054,2015,131,4.292,0.01604,0.22562,0.06977
"132",132,"Sri Lanka","Southern Asia",0.53726,2015,132,4.271,0.83524,0.70806,0.09179
"133",133,"Cameroon","Sub-Saharan Africa",0.49309,2015,133,4.252,0.4225,0.23402,0.05786
"134",134,"Bulgaria","Central and Eastern Europe",0.30587,2015,134,4.218,1.01216,0.76649,0.00872
"135",135,"Egypt","Middle East and Northern Africa",0.17288,2015,135,4.194,0.8818,0.61712,0.06324
"136",136,"Yemen","Middle East and Northern Africa",0.35571,2015,136,4.077,0.54649,0.40064,0.07854
"137",137,"Angola","Sub-Saharan Africa",0.10384,2015,137,4.033,0.75778,0.16683,0.07122
"138",138,"Mali","Sub-Saharan Africa",0.38857,2015,138,3.995,0.26074,0.20583,0.12352
"139",139,"Congo (Brazzaville)","Sub-Saharan Africa",0.41466,2015,139,3.989,0.67866,0.31051,0.11686
"140",140,"Comoros","Sub-Saharan Africa",0.22917,2015,140,3.956,0.23906,0.36315,0.199
"141",141,"Uganda","Sub-Saharan Africa",0.45727,2015,141,3.931,0.21102,0.33861,0.07267
"142",142,"Senegal","Sub-Saharan Africa",0.36772,2015,142,3.904,0.36498,0.4354,0.10713
"143",143,"Gabon","Sub-Saharan Africa",0.31914,2015,143,3.896,1.06024,0.43372,0.11091
"144",144,"Niger","Sub-Saharan Africa",0.47692,2015,144,3.845,0.0694,0.29707,0.15639
"145",145,"Cambodia","Southeastern Asia",0.66246,2015,145,3.819,0.46038,0.61114,0.07247
"146",146,"Tanzania","Sub-Saharan Africa",0.32878,2015,146,3.781,0.2852,0.38215,0.05747
"147",147,"Madagascar","Sub-Saharan Africa",0.19184,2015,147,3.681,0.20824,0.46721,0.08124
"148",148,"Central African Republic","Sub-Saharan Africa",0.48879,2015,148,3.678,0.0785,0.06699,0.08289
"149",149,"Chad","Sub-Saharan Africa",0.23501,2015,149,3.667,0.34193,0.1501,0.05269
"150",150,"Guinea","Sub-Saharan Africa",0.37725,2015,150,3.656,0.17417,0.24009,0.12139
"151",151,"Ivory Coast","Sub-Saharan Africa",0.46866,2015,151,3.655,0.46534,0.15185,0.17922
"152",152,"Burkina Faso","Sub-Saharan Africa",0.39493,2015,152,3.587,0.25812,0.27125,0.12832
"153",153,"Afghanistan","Southern Asia",0.23414,2015,153,3.575,0.31982,0.30335,0.09719
"154",154,"Rwanda","Sub-Saharan Africa",0.59201,2015,154,3.465,0.22208,0.42864,0.55191
"155",155,"Benin","Sub-Saharan Africa",0.4845,2015,155,3.34,0.28665,0.3191,0.0801
"156",156,"Syria","Middle East and Northern Africa",0.15684,2015,156,3.006,0.6632,0.72193,0.18906
"157",157,"Burundi","Sub-Saharan Africa",0.1185,2015,157,2.905,0.0153,0.22396,0.10062
"158",158,"Togo","Sub-Saharan Africa",0.36453,2015,158,2.839,0.20868,0.28443,0.10731
