"","X","Score","Year","Country","Rank","GDP","Life.Expectancy","Freedom","Corruption"
"34",34,6.343,2018,"Singapore",34,1.529,1.008,0.631,"0.457"
"35",35,6.322,2018,"Malaysia",35,1.161,0.669,0.356,"0.059"
"36",36,6.31,2018,"Spain",36,1.251,0.965,0.449,"0.074"
"37",37,6.26,2018,"Colombia",37,0.96,0.635,0.531,"0.039"
"38",38,6.192,2018,"Trinidad & Tobago",38,1.223,0.564,0.575,"0.019"
"39",39,6.173,2018,"Slovakia",39,1.21,0.776,0.354,"0.014"
"40",40,6.167,2018,"El Salvador",40,0.806,0.639,0.461,"0.082"
"41",41,6.141,2018,"Nicaragua",41,0.668,0.7,0.527,"0.128"
"42",42,6.123,2018,"Poland",42,1.176,0.781,0.546,"0.064"
"43",43,6.105,2018,"Bahrain",43,1.338,0.698,0.594,"0.123"
"44",44,6.096,2018,"Uzbekistan",44,0.719,0.605,0.724,"0.259"
"45",45,6.083,2018,"Kuwait",45,1.474,0.675,0.554,"0.106"
"46",46,6.072,2018,"Thailand",46,1.016,0.707,0.637,"0.029"
"47",47,6,2018,"Italy",47,1.264,0.946,0.281,"0.028"
"48",48,5.973,2018,"Ecuador",48,0.889,0.736,0.556,"0.120"
"49",49,5.956,2018,"Belize",49,0.807,0.474,0.593,"0.089"
"50",50,5.952,2018,"Lithuania",50,1.197,0.716,0.35,"0.006"
"51",51,5.948,2018,"Slovenia",51,1.219,0.856,0.633,"0.051"
"52",52,5.945,2018,"Romania",52,1.116,0.726,0.528,"0.001"
"53",53,5.933,2018,"Latvia",53,1.148,0.671,0.363,"0.066"
"54",54,5.915,2018,"Japan",54,1.294,0.988,0.553,"0.150"
"55",55,5.891,2018,"Mauritius",55,1.09,0.684,0.584,"0.050"
"56",56,5.89,2018,"Jamaica",56,0.819,0.693,0.575,"0.031"
"57",57,5.875,2018,"South Korea",57,1.266,0.955,0.244,"0.051"
"58",58,5.835,2018,"Northern Cyprus",58,1.229,0.909,0.495,"0.154"
"59",59,5.81,2018,"Russia",59,1.151,0.599,0.399,"0.025"
"60",60,5.79,2018,"Kazakhstan",60,1.143,0.631,0.454,"0.121"
"61",61,5.762,2018,"Cyprus",61,1.229,0.909,0.423,"0.035"
"62",62,5.752,2018,"Bolivia",62,0.751,0.508,0.606,"0.054"
"63",63,5.739,2018,"Estonia",63,1.2,0.737,0.553,"0.174"
"64",64,5.681,2018,"Paraguay",64,0.835,0.615,0.541,"0.074"
"65",65,5.663,2018,"Peru",65,0.934,0.674,0.53,"0.034"
"66",66,5.662,2018,"Kosovo",66,0.855,0.578,0.448,"0.023"
"67",67,5.64,2018,"Moldova",67,0.657,0.62,0.232,"0.000"
"68",68,5.636,2018,"Turkmenistan",68,1.016,0.517,0.417,"0.037"
"69",69,5.62,2018,"Hungary",69,1.171,0.732,0.259,"0.022"
"70",70,5.566,2018,"Libya",70,0.985,0.553,0.496,"0.148"
"71",71,5.524,2018,"Philippines",71,0.775,0.513,0.643,"0.105"
"72",72,5.504,2018,"Honduras",72,0.62,0.622,0.459,"0.074"
"73",73,5.483,2018,"Belarus",73,1.039,0.7,0.307,"0.154"
"74",74,5.483,2018,"Turkey",74,1.148,0.686,0.324,"0.109"
"75",75,5.472,2018,"Pakistan",75,0.652,0.424,0.334,"0.113"
"76",76,5.43,2018,"Hong Kong",76,1.405,1.03,0.524,"0.291"
"77",77,5.41,2018,"Portugal",77,1.188,0.884,0.562,"0.017"
"78",78,5.398,2018,"Serbia",78,0.975,0.685,0.288,"0.043"
"79",79,5.358,2018,"Greece",79,1.154,0.879,0.131,"0.044"
"80",80,5.358,2018,"Lebanon",80,0.965,0.785,0.503,"0.136"
"81",81,5.347,2018,"Montenegro",81,1.017,0.729,0.259,"0.081"
"82",82,5.321,2018,"Croatia",82,1.115,0.737,0.38,"0.039"
"83",83,5.302,2018,"Dominican Republic",83,0.982,0.614,0.578,"0.106"
"84",84,5.295,2018,"Algeria",84,0.979,0.687,0.077,"0.135"
"85",85,5.254,2018,"Morocco",85,0.779,0.669,0.46,"0.074"
"86",86,5.246,2018,"China",86,0.989,0.799,0.597,"0.103"
"87",87,5.201,2018,"Azerbaijan",87,1.024,0.603,0.43,"0.176"
"88",88,5.199,2018,"Tajikistan",88,0.474,0.598,0.292,"0.034"
"89",89,5.185,2018,"Macedonia",89,0.959,0.691,0.394,"0.052"
"90",90,5.161,2018,"Jordan",90,0.822,0.645,0.468,"0.134"
"91",91,5.155,2018,"Nigeria",91,0.689,0.048,0.462,"0.032"
"92",92,5.131,2018,"Kyrgyzstan",92,0.53,0.594,0.54,"0.035"
"93",93,5.129,2018,"Bosnia and Herzegovina",93,0.915,0.758,0.28,"0.000"
"94",94,5.125,2018,"Mongolia",94,0.914,0.575,0.395,"0.032"
"95",95,5.103,2018,"Vietnam",95,0.715,0.702,0.618,"0.079"
"96",96,5.093,2018,"Indonesia",96,0.899,0.522,0.538,"0.018"
"97",97,5.082,2018,"Bhutan",97,0.796,0.527,0.541,"0.171"
"98",98,4.982,2018,"Somalia",98,0,0.115,0.674,"0.282"
"99",99,4.975,2018,"Cameroon",99,0.535,0.182,0.454,"0.043"
"100",100,4.933,2018,"Bulgaria",100,1.054,0.712,0.359,"0.009"
"101",101,4.88,2018,"Nepal",101,0.425,0.539,0.526,"0.078"
"102",102,4.806,2018,"Venezuela",102,0.996,0.657,0.133,"0.052"
"103",103,4.758,2018,"Gabon",103,1.036,0.404,0.356,"0.052"
"104",104,4.743,2018,"Palestinian Territories",104,0.642,0.602,0.266,"0.076"
"105",105,4.724,2018,"South Africa",105,0.94,0.33,0.516,"0.056"
"106",106,4.707,2018,"Iran",106,1.059,0.691,0.459,"0.129"
"107",107,4.671,2018,"Ivory Coast",107,0.541,0.08,0.467,"0.103"
"108",108,4.657,2018,"Ghana",108,0.592,0.337,0.499,"0.029"
"109",109,4.631,2018,"Senegal",109,0.429,0.433,0.406,"0.082"
"110",110,4.623,2018,"Laos",110,0.72,0.441,0.626,"0.174"
"111",111,4.592,2018,"Tunisia",111,0.9,0.69,0.271,"0.063"
"112",112,4.586,2018,"Albania",112,0.916,0.79,0.419,"0.032"
"113",113,4.571,2018,"Sierra Leone",113,0.256,0,0.355,"0.053"
"114",114,4.559,2018,"Congo (Brazzaville)",114,0.682,0.343,0.514,"0.077"
"115",115,4.5,2018,"Bangladesh",115,0.532,0.579,0.58,"0.144"
"116",116,4.471,2018,"Sri Lanka",116,0.918,0.672,0.585,"0.050"
"117",117,4.456,2018,"Iraq",117,1.01,0.536,0.304,"0.095"
"118",118,4.447,2018,"Mali",118,0.37,0.152,0.367,"0.056"
"119",119,4.441,2018,"Namibia",119,0.874,0.365,0.519,"0.064"
"120",120,4.433,2018,"Cambodia",120,0.549,0.457,0.696,"0.065"
"121",121,4.424,2018,"Burkina Faso",121,0.314,0.254,0.312,"0.128"
"122",122,4.419,2018,"Egypt",122,0.885,0.553,0.312,"0.107"
"123",123,4.417,2018,"Mozambique",123,0.198,0.173,0.531,"0.158"
"124",124,4.41,2018,"Kenya",124,0.493,0.454,0.504,"0.055"
"125",125,4.377,2018,"Zambia",125,0.562,0.295,0.503,"0.082"
"126",126,4.356,2018,"Mauritania",126,0.557,0.292,0.129,"0.093"
"127",127,4.35,2018,"Ethiopia",127,0.308,0.391,0.452,"0.146"
"128",128,4.34,2018,"Georgia",128,0.853,0.643,0.375,"0.215"
"129",129,4.321,2018,"Armenia",129,0.816,0.666,0.26,"0.028"
"130",130,4.308,2018,"Myanmar",130,0.682,0.429,0.58,"0.178"
"131",131,4.301,2018,"Chad",131,0.358,0.053,0.189,"0.060"
"132",132,4.245,2018,"Congo (Kinshasa)",132,0.069,0.204,0.312,"0.052"
"133",133,4.19,2018,"India",133,0.721,0.485,0.539,"0.093"
"134",134,4.166,2018,"Niger",134,0.131,0.221,0.39,"0.099"
"135",135,4.161,2018,"Uganda",135,0.322,0.237,0.45,"0.061"
"136",136,4.141,2018,"Benin",136,0.378,0.24,0.44,"0.067"
"137",137,4.139,2018,"Sudan",137,0.605,0.312,0.016,"0.082"
"138",138,4.103,2018,"Ukraine",138,0.793,0.609,0.163,"0.011"
"139",139,3.999,2018,"Togo",139,0.259,0.253,0.434,"0.101"
"140",140,3.964,2018,"Guinea",140,0.344,0.211,0.394,"0.094"
"141",141,3.808,2018,"Lesotho",141,0.472,0.079,0.423,"0.112"
"142",142,3.795,2018,"Angola",142,0.73,0.269,0,"0.061"
"143",143,3.774,2018,"Madagascar",143,0.262,0.402,0.221,"0.049"
"144",144,3.692,2018,"Zimbabwe",144,0.357,0.248,0.406,"0.099"
"145",145,3.632,2018,"Afghanistan",145,0.332,0.255,0.085,"0.036"
"146",146,3.59,2018,"Botswana",146,1.017,0.417,0.557,"0.092"
"147",147,3.587,2018,"Malawi",147,0.186,0.306,0.531,"0.080"
"148",148,3.582,2018,"Haiti",148,0.315,0.289,0.025,"0.104"
"149",149,3.495,2018,"Liberia",149,0.076,0.267,0.419,"0.030"
"150",150,3.462,2018,"Syria",150,0.689,0.539,0.088,"0.144"
"151",151,3.408,2018,"Rwanda",151,0.332,0.4,0.636,"0.444"
"152",152,3.355,2018,"Yemen",152,0.442,0.343,0.244,"0.064"
"153",153,3.303,2018,"Tanzania",153,0.455,0.381,0.481,"0.097"
"154",154,3.254,2018,"South Sudan",154,0.337,0.177,0.112,"0.106"
"155",155,3.083,2018,"Central African Republic",155,0.024,0.01,0.305,"0.038"
"156",156,2.905,2018,"Burundi",156,0.091,0.145,0.065,"0.076"
